123,Réunion,"54,668",,374,,"53,879",,415,33,"60,491",414,"1,279,618","1,415,909","903,743"
124,Guadeloupe,"54,537",,742,,"2,250",,"51,545",23,"136,270","1,854","495,286","1,237,553","400,214"
125,Fiji,"52,079",,673,,"49,143",,"2,263",,"57,545",744,"439,247","485,347","905,017"
126,Suriname,"48,670",,"1,074",,"29,455",,"18,141",14,"81,996","1,809","146,344","246,551","593,566"
127,Eswatini,"46,393",,"1,242",,"45,092",,59,10,"39,450","1,056","368,081","312,992","1,176,009"
128,French Guiana,"44,438",,304,,"9,995",,"34,139",29,"143,872",984,"425,931","1,378,993","308,871"
129,Madagascar,"42,898",,958,,"41,322",,618,3,"1,498",33,"249,510","8,716","28,627,969"
130,Martinique,"42,634",,670,,104,,"41,860",1,"113,727","1,787","376,921","1,005,442","374,881"
131,Syria,"42,351",,"2,534",,"26,016",,"13,801",,"2,345",140,"103,566","5,734","18,060,322"
132,Sudan,"40,238",,"3,099",,"32,905",,"4,234",,890,69,"238,579","5,279","45,197,241"
133,French Polynesia,"40,178",,636,,"33,500",,"6,042",7,"141,946","2,247","26,355","93,110","283,051"
134,Laos,"38,281",530,59,,"6,558",,"31,664",,"5,163",8,"622,264","83,923","7,414,743"
135,Cabo Verde,"38,169",,349,,"37,581",,239,23,"67,681",619,"211,025","374,190","563,952"
136,Malta,"37,610",15,460,,"36,537",13,613,3,"84,880","1,038","1,211,456","2,734,077","443,095"
137,Mauritania,"37,094",,792,,"35,771",,531,22,"7,711",165,"484,600","100,738","4,810,502"
138,Guyana,"35,252",,900,,"31,328",,"3,024",25,"44,535","1,137","349,802","441,914","791,562"
139,Gabon,"35,252",,235,,"28,784",,"6,233",22,"15,361",102,"1,314,654","572,864","2,294,879"
140,Guinea,"30,653",2,385,,"29,516",5,752,24,"2,254",28,"566,053","41,617","13,601,544"
141,Papua New Guinea,"28,823",336,345,10,"25,694",475,"2,784",7,"3,143",38,"207,207","22,595","9,170,315"
142,Belize,"26,426",,489,,"23,240",,"2,697",10,"64,907","1,201","305,085","749,339","407,139"
143,Tanzania,"26,154",,725,,N/A,N/A,N/A,7,422,12,,,"61,972,664"
144,Togo,"26,024",,242,,"25,488",,294,,"3,049",28,"544,662","63,821","8,534,187"
145,Benin,"24,749",,161,,"24,346",,242,5,"1,973",13,"604,310","48,186","12,541,105"
146,Haiti,"23,773",,662,,"20,266",,"2,845",,"2,052",57,"120,507","10,401","11,585,837"
147,Bahamas,"22,259",,642,,"20,261",,"1,356",15,"55,899","1,612","155,049","389,374","398,201"
148,Seychelles,"22,086",,119,,"21,747",,220,,"222,751","1,200","21,504","216,881","99,151"
149,Lesotho,"21,600",,657,,"12,271",,"8,672",,"9,978",304,"235,332","108,716","2,164,656"
150,Somalia,"21,269",,"1,180",,"9,927",,"10,162",,"1,291",72,"239,292","14,523","16,476,630"
151,Mayotte,"20,497",,182,,"2,964",,"17,351",,"72,818",647,"176,919","628,529","281,481"
152,Burundi,"19,988",34,38,,773,,"19,177",,"1,618",3,"345,742","27,980","12,356,611"
153,Timor-Leste,"19,785",,122,1,"19,613",5,50,,"14,639",90,"169,501","125,414","1,351,529"
154,Mauritius,"17,416",,160,,"1,854",,"15,402",,"13,664",126,"358,675","281,412","1,274,554"
155,Tajikistan,"17,086",,124,,"16,960",,2,,"1,740",13,,,"9,819,735"
156,Curaçao,"17,047",,173,,"16,713",,161,4,"103,328","1,049","307,738","1,865,316","164,979"
157,Congo,"16,868",,249,,"12,421",,"4,198",,"2,961",44,"188,207","33,037","5,696,881"
158,Barbados,"16,424",,149,,"10,861",,"5,414",,"57,059",518,"380,413","1,321,613","287,840"
159,Nicaragua,"16,422",,207,,"4,225",,"11,990",,"2,441",31,,,"6,728,496"
160,Taiwan,"16,394",6,847,,"15,436",12,111,,687,35,"7,327,671","306,935","23,873,688"
161,Mali,"15,924",,561,,"14,606",,757,,758,27,"449,901","21,405","21,018,178"
162,Aruba,"15,865",,171,,"15,520",,174,20,"147,768","1,593","177,885","1,656,840","107,364"
163,Andorra,"15,462",,130,,"15,219",,113,4,"199,695","1,679","193,595","2,500,323","77,428"
164,Burkina Faso,"14,793",,214,,"14,287",,292,,683,10,"222,837","10,289","21,657,489"
165,Djibouti,"13,461",,181,,"13,215",,65,,"13,368",180,"234,424","232,808","1,006,941"
166,Iceland,"13,413",100,33,,"12,540",56,840,1,"38,972",96,"1,134,775","3,297,173","344,166"
167,Equatorial Guinea,"13,236",,163,,"12,565",,508,1,"9,044",111,"238,486","162,946","1,463,587"
168,Channel Islands,"12,905",,100,,"12,171",,634,,"73,333",568,"1,001,746","5,692,483","175,977"
169,Brunei,"12,823",113,83,1,"10,448",173,"2,292",3,"28,945",187,"493,147","1,113,186","443,005"
170,Saint Lucia,"12,486",,253,,"11,842",,391,6,"67,589","1,370","85,798","464,438","184,735"
171,Hong Kong,"12,338",2,213,,"12,033",,92,,"1,628",28,"26,499,519","3,497,256","7,577,231"
172,South Sudan,"12,327",,133,,"12,008",,186,2,"1,084",12,"247,059","21,735","11,366,803"
173,CAR,"11,518",,100,,"6,859",,"4,559",2,"2,331",20,"60,228","12,191","4,940,427"
174,New Caledonia,"10,848",80,264,1,55,,"10,529",24,"37,521",913,"42,756","147,884","289,119"
175,Gambia,"9,963",,340,,"9,610",,13,3,"3,976",136,"103,948","41,480","2,505,995"
176,Yemen,"9,751",23,"1,874",6,"6,341",9,"1,536",23,318,61,"265,253","8,643","30,691,025"
177,Isle of Man,"9,417",,57,,"8,492",,868,1,"109,977",666,"128,771","1,503,860","85,627"
178,Eritrea,"6,800",,45,,"6,719",,36,,"1,883",12,"23,693","6,561","3,611,135"
179,Sierra Leone,"6,396",,121,,"4,393",,"1,882",,781,15,"160,729","19,623","8,190,661"
180,Niger,"6,300",,211,,"5,954",,135,,248,8,"170,116","6,709","25,358,135"
181,Guinea-Bissau,"6,133",,141,,"5,525",,467,,"3,022",69,"102,167","50,347","2,029,240"
182,New Zealand,"5,995",96,28,,"4,574",7,"1,393",5,"1,198",6,"4,005,470","800,758","5,002,100"
183,Gibraltar,"5,943",23,98,,"5,659",13,186,4,"176,465","2,910","383,872","11,398,302","33,678"
184,Grenada,"5,830",6,197,,"5,509",6,124,,"51,497","1,740","80,163","708,085","113,211"
