rhhnum,region,geoid10,anyvmt,lnvmt,autotrips,anywalk,walktrips,anybike,biketrips,anytransit,transittrips,veh,hhsize,hhworker,htype,sf,hhincome,lnhhincome,income_cat,actden,jobpop,entropy,intden,pct4way,stopden,emp10a,emp20a,emp30a,emp30t,intptlat10,intptlon10
60007426,6,530530712061,1,3.74439510521634,15,0, ,1,2,1,2,2,4,2,1,1,74.22766,4.30713685698984,2,2.89640523415262,.32167614758068,0,97.4823556936195,6.66666666666667,0,.431583287645164,9.12781661901504,18.3707787529622,5.13244282937394,47.1667584,-122.3357443
60007449,6,530330298012,1,2.40000720600151,5,0, ,0, ,0, ,1,1,1,3,0,39.96874,3.68809764858362,2,2.50201695755107,.872595668751164,.469318084983555,55.0569839784177,44.4444444444444,24.4697706570745,3.79056996180318,16.0264659105841,39.7489907067998,15.5848010185819,47.3647476,-122.2637248
60007463,6,530330226063,1,3.46060914705338,8,1,1,0, ,0, ,3,3,2,1,1,74.22766,4.30713685698984,2,4.36117889686919,.992991389587252,.131509215964169,149.746263276115,14.8148148148148,49.9154210920385,7.03169248614629,16.2668385448054,48.9148682141741,22.2433608670633,47.6725233,-122.1588054
60007485,6,530330316013,1,3.69829445304854,11,0, ,0, ,0, ,2,2,2,1,1,51.38838,3.93941207686453,2,.74372928676058,.403172512670388,0,36.4381025951217,80,0,.0286589427228941,0,.535854263046049,7.66689019886814,47.3332622,-122.114403
60007491,6,530330110021,1,2.64002211502536,6,0, ,0, ,0, ,6,2,2,1,1,119.90622,4.78670993725173,3,6.14365201294323,.9063359942375,.115336864258783,182.358703811297,39.5348837209302,38.1681007977133,6.18381823207174,35.1800415951137,57.125088922016,24.3056719785772,47.5387954,-122.299915
60007495,6,530330298025,1,2.43931990533611,2,1,2,0, ,0, ,3,4,2,1,1,85.6473,4.45023770063052,3,7.31447288646943,.317414850085051,.192639229923564,162.590855167679,11.1111111111111,0,1.21285098709102,13.0454827615893,28.6394025346739,13.1468651874272,47.3359833,-122.2735818
60007509,6,530330322082,1,.827162951978148,1,1,1,0, ,0, ,1,1,0,3,0,28.5491,3.35162541196241,1,4.61640463018938,.968229508072435,.611725207252395,163.490017603693,11.6279069767442,15.2083737305761,.580371909251968,9.39696147241265,39.8856587478874,5.09313590002673,47.5710333,-122.0401627
60007525,6,530330315023,1,3.95600279954468,4,0, ,0, ,0, ,1,1,0,2,0, , , ,.983906255095353,.19245574851008,.626483036337983,63.941685183113,40,3.19708425915565,0,0,.252833044100789,.372849446531248,47.1737742,-121.9447862
60007536,6,530330249034,1,3.03547260220351,6,1,2,0, ,0, ,1,2,0,1,1,5.70982,1.74218749952831,1,3.8752604648076,.238305575790254,0,253.399780386857,4.76190476190476,36.1999686266939,.626532064032914,18.1918585947376,53.0216493957834,27.988969138963,47.5455025,-122.1483455
60007538,6,530330322121,1,4.68883434207162,20,0, ,0, ,0, ,6,5,1,1,1,171.2946,5.14338488119046,3,8.69365810790157,.630678027282955,0,157.08051012957,8.10810810810811,16.9816767707643,.580371909251968,3.27108414628068,32.0685073335176,5.89071540876941,47.5709961,-121.9968479
