Brooklyn Rolling Sales.  All Sales From October 2021 - September 2022,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 10/11/2022 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.  Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,20,,B1,207 BAY 13TH STREET,,11214,2,0,2,"1,510","3,216",1901,1,B1,0,10/15/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,55,,B2,198 BAY 14TH STREET,,11214,2,0,2,"2,116","1,458",1910,1,B2,0,3/26/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,103,,B1,1645 CROPSEY AVENUE,,11214,2,0,2,"1,526","1,537",1930,1,B1,0,8/1/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,29,,B3,185 BAY 14TH STREET,,11214,2,0,2,"2,167","2,332",1910,1,B3,"1,190,000",10/13/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6433,28,,B3,8793 17TH AVENUE,,11214,2,0,2,"1,837","1,470",1920,1,B3,"980,000",1/6/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6433,29,,B3,8791 17TH AVE,,11214,2,0,2,"1,837","1,470",1920,1,B3,"1,160,000",3/31/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6442,31,,B9,2010 BATH AVENUE,,11214,2,0,2,708,"1,254",1925,1,B9,"865,000",6/15/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6443,10,,B3,2033 CROPSEY AVENUE,,11214,2,0,2,"2,565","1,785",1935,1,B3,"900,000",1/20/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6443,33,,S2,2038 BATH AVENUE,,11214,2,1,3,"1,752","4,000",1925,1,S2,"1,500,000",8/30/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6444,32,,S2,161 BAY 26TH STREET,,11214,2,1,3,"2,130","2,640",1904,1,S2,"1,865,000",3/17/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,41,,B1,184 BAY 28TH STREET,,11214,2,0,2,"1,885","2,123",1965,1,B1,"1,255,000",1/24/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,42,,B3,190 BAY 28TH STREET,,11214,2,0,2,"3,963","2,743",1915,1,B3,"1,598,888",4/6/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6446,15,,B3,197 BAY 28TH STREET,,11214,2,0,2,"3,866","2,640",1910,1,B3,0,7/15/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,20,,B9,305 BAY 8TH STREET,,11228,2,0,2,"1,442","1,640",1925,1,B9,0,2/15/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,3,,B3,8939 15TH AVENUE,,11228,2,0,2,"1,740","1,674",1960,1,B3,"990,000",12/10/2021
