Detector,X_CORD,Y_CORD,1,2,3,4,5
D01Dry,484769.0774,6367540.194,0,1,1,1,0
D02Dry,484767.0622,6367025.59,1,1,0,1,0
D03Dry,484769.5034,6366534.384,1,1,1,1,0
D04Dry,484770.2751,6366033.419,1,1,1,1,0
D05Dry,484967.1245,6365631.75,1,1,1,1,0
D06Dry,485022.8122,6365131.422,1,1,1,1,0
D07Dry,483214.5257,6365079.406,1,1,1,1,0
D08Dry,482798.7849,6365080.354,1,1,1,1,0
D09Dry,482218.6375,6365081.766,1,1,1,1,0
D10Dry,481740.4892,6365079.786,1,1,1,1,0
D11Dry,481488.9587,6365384.621,1,1,1,1,0
D12Dry,481489.0435,6365889.025,1,1,1,1,0
D13Dry,481066.5846,6365959.285,1,1,1,1,0
D14Dry,480565.5509,6365961.971,1,1,1,1,0
D15Dry,480582.3317,6366280.278,1,1,0,1,0
D16Dry,480977.4401,6366523.492,1,1,1,1,0
D17Dry,480873.2817,6367296.525,1,1,1,1,0
D18Dry,481089.517,6367522.536,1,1,1,1,0
D19Dry,481567.6371,6367502.708,1,0,1,1,0
D20Dry,482003.8921,6367291.441,1,1,1,1,0
D21Dry,482186.6529,6366942.016,1,1,1,1,0
D22Dry,482176.3605,6366473.401,1,1,1,1,0
D23Dry,482177.9942,6365982.414,1,1,1,1,0
D24Dry,482583.5415,6366318.039,1,1,1,0,0
D25Dry,482690.1099,6366812.43,1,1,1,1,0
M01Dry,508356.5327,6376475.997,0,1,1,1,0
M02Dry,508726.545,6376134.021,1,1,1,0,0
M03Dry,508949.7892,6375735.073,1,1,0,0,0
M04Dry,508933.6028,6375236.125,1,1,1,1,0
M05Dry,509352.9415,6375026.997,1,1,1,1,0
M06Dry,509691.5729,6374675.479,1,1,1,1,0
M07Dry,510158.0691,6374641.756,1,1,1,1,0
M08Dry,510665.0216,6374518.838,0,0,1,1,0
M09Dry,511140.6386,6374442.933,0,1,1,1,0
M10Dry,511617.335,6374335.188,1,1,1,1,0
M11Dry,512119.385,6374213.088,1,1,1,1,0
M12Dry,512578.0993,6374048.45,1,1,1,0,0
M13Dry,512977.0214,6374007.473,1,1,1,1,0
